artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
fifth harmony,worth it,2015,0.256463765,0.000591366,0.000591366,0.104060733,0.000591366,0.011641137,0.000591366,0.000591366,0.394905935,0.000591366,0.14757285,0.000591366,0.890609769,0.587798846,0.76575845,https://www.youtube.com/watch?v=YBHQbu5rbdQ
alessia cara,here,2015,0.000848897,0.000848896,0.000848896,0.000848897,0.000848896,0.020645269,0.000848896,0.261103884,0.463300344,0.101314001,0.043794345,0.000848896,0.340409401,0.316776587,0.821816257,https://www.youtube.com/watch?v=UKp2CrfmVfw
troye sivan,youth,2015,0.001253133,0.306064081,0.001253133,0.001253133,0.001253133,0.001253133,0.02787087,0.001253133,0.001253133,0.001253133,0.001253133,0.273657076,0.613343442,0.58573784,0.737729547,https://www.youtube.com/watch?v=XYAghEq5Lfw
lil dicky,$ave dat money (feat. fetty wap & rich homie quan),2015,0.004385965,0.143355923,0.004385965,0.004385965,0.004385965,0.004385966,0.004385965,0.19246569,0.594002945,0.004385965,0.004385965,0.004385965,0.862449908,0.350783182,0.697688256,https://www.youtube.com/watch?v=yvHYWD29ZNY
galantis,runaway (u & i),2015,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.056675008,0.001547988,0.001547988,0.001547988,0.466979427,0.481208708,0.370362737,0.805799741,https://www.youtube.com/watch?v=5XR7naZ_zZA
twenty one pilots,heavydirtysoul,2015,0.000649773,0.109154522,0.519424177,0.000649773,0.000649773,0.000649773,0.000649773,0.079102801,0.267659239,0.015562445,0.000649773,0.000649773,0.597097368,0.379637263,0.873869935,https://www.youtube.com/watch?v=r_9Kf0D5BTs
twenty one pilots,lane boy,2015,0.000453721,0.092354512,0.329303186,0.000453721,0.000453721,0.000453721,0.000453721,0.215336905,0.000453721,0.08257979,0.000453721,0.000453721,0.600346583,0.916529266,0.811805934,https://www.youtube.com/watch?v=ywvRgGAd2XI
halsey,control,2015,0.000674764,0.516248976,0.000674764,0.057584059,0.000674764,0.05067885,0.000674764,0.000674764,0.125492942,0.075243019,0.000674764,0.075151938,0.527780786,0.187963726,0.675665546,https://www.youtube.com/watch?v=so8V5dAli-Q
twenty one pilots,the judge,2015,0.000634115,0.301774774,0.000634115,0.070613413,0.013513532,0.000634115,0.000634115,0.316188764,0.000634115,0.061216999,0.000634115,0.000634115,0.391313766,0.58573784,0.797791483,https://www.youtube.com/watch?v=PbP-aIe51Ek
kehlani,the way (feat. chance the rapper),2015,0.164931031,0.000457666,0.000457666,0.019484276,0.000457666,0.012352969,0.000457666,0.135984486,0.386555836,0.000457666,0.038461709,0.047738762,0.74114589,0.507419621,0.538524126,https://www.youtube.com/watch?v=0E1xYcXsGp0
rae sremmurd,no type,2015,0.000457666,0.000457666,0.10508409,0.083701808,0.078976574,0.048112632,0.000457666,0.000457666,0.634513387,0.000457666,0.000457666,0.000457666,0.894942056,0.208573784,0.483467352,https://www.youtube.com/watch?v=wzMrK-aGCug
drake,legend,2015,0.000598086,0.000598086,0.076326003,0.049198202,0.036752514,0.000598086,0.000598086,0.193631662,0.450507861,0.000598086,0.015395753,0.000598086,0.70757067,0.281739489,0.561547868,https://www.youtube.com/watch?v=nSf3pBIX2RU
melanie martinez,pity party,2015,0.000598086,0.000598086,0.000598086,0.000598086,0.000598086,0.000598086,0.000598086,0.128143022,0.342187953,0.000598086,0.000598086,0.03499271,0.708653742,0.32502061,0.730722321,https://www.youtube.com/watch?v=6bAPlojfgO0
fall out boy,uma thurman,2015,0.000797448,0.337435336,0.000797448,0.029187006,0.000797448,0.157593215,0.000797448,0.000797448,0.000797448,0.000797448,0.149229431,0.017092466,0.607928084,0.737221764,0.956955613,https://www.youtube.com/watch?v=2VTxYQL2SbA
drake,energy,2015,0.000453721,0.000453721,0.107393311,0.000453721,0.048030166,0.000453721,0.000453721,0.000453721,0.735433259,0.000453721,0.000453721,0.016693703,0.737896675,0.564097279,0.571558191,https://www.youtube.com/watch?v=7LnBvuzjpr4
beach house,space song,2015,0.000993049,0.000993049,0.000993049,0.075651036,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.039222912,0.730699905,0.484457923,0.619744435,0.790784257,https://www.youtube.com/watch?v=RBtlPT23PTM
sia,elastic heart,2015,0.000578369,0.243784749,0.041364872,0.000578369,0.083904443,0.000578369,0.000578369,0.000578369,0.127534098,0.03649281,0.000578369,0.383961088,0.389147623,0.489901072,0.791785289,https://www.youtube.com/watch?v=KWZGAExj-es
